                            Variables index correlation     qvalue pvalue
M9.00_258.1836n       M9.00_258.1836n  4252   0.3365653 0.05935514  0.003
M4.51_861.6164n       M4.51_861.6164n  3499   0.3365569 0.04721933  0.002
M11.42_341.1781m.z M11.42_341.1781m.z  2750   0.3363731 0.04721933  0.002
M4.70_255.1598m.z   M4.70_255.1598m.z  3739   0.3361361 0.02913303  0.001
M11.41_517.2093m.z M11.41_517.2093m.z  2737   0.3356458 0.04721933  0.002
M11.19_321.2433m.z M11.19_321.2433m.z  3965   0.3355885 0.02913303  0.001
M5.63_646.5047n       M5.63_646.5047n  3534   0.3351202 0.04721933  0.002
M11.00_307.1888m.z M11.00_307.1888m.z  2506   0.3349919 0.00000000  0.000
M0.96_223.1702m.z   M0.96_223.1702m.z   848   0.3338246 0.00000000  0.000
M6.78_355.1254m.z   M6.78_355.1254m.z  1811   0.3321197 0.05935514  0.003
M11.28_309.2046m.z M11.28_309.2046m.z   467   0.3316756 0.04721933  0.002
M5.28_885.5460m.z   M5.28_885.5460m.z  3717   0.3315759 0.04721933  0.002
M11.96_302.2217n     M11.96_302.2217n    95   0.3313626 0.00000000  0.000
M5.31_885.5516m.z   M5.31_885.5516m.z   644   0.3269471 0.04721933  0.002
M11.54_528.1997n     M11.54_528.1997n   736   0.3269084 0.05935514  0.003
M11.30_327.1838m.z M11.30_327.1838m.z  4210   0.3268792 0.05935514  0.003
M11.93_455.2132m.z M11.93_455.2132m.z  2314   0.3267512 0.02913303  0.001
M7.04_313.2244n       M7.04_313.2244n  1235   0.3265707 0.00000000  0.000
M13.56_307.2641m.z M13.56_307.2641m.z   719   0.3265013 0.02913303  0.001
M11.28_227.2015m.z M11.28_227.2015m.z   211   0.3262724 0.02913303  0.001
M1.91_233.0123m.z   M1.91_233.0123m.z  1294   0.3261260 0.05935514  0.003
M9.76_265.1806m.z   M9.76_265.1806m.z  4255   0.3256528 0.04721933  0.002
M5.48_243.1347m.z   M5.48_243.1347m.z  4037   0.3249172 0.00000000  0.000
M11.28_549.1962m.z M11.28_549.1962m.z  2527   0.3246061 0.02913303  0.001
M7.75_178.0531m.z   M7.75_178.0531m.z  4530   0.3235954 0.05935514  0.003
M11.54_493.2089m.z M11.54_493.2089m.z  1836   0.3219418 0.02913303  0.001
M2.76_203.0813m.z   M2.76_203.0813m.z  6228   0.3215432 0.04721933  0.002
M13.28_285.2783m.z M13.28_285.2783m.z  4654   0.3211025 0.07017680  0.004
M11.41_125.0970m.z M11.41_125.0970m.z  5714   0.3208900 0.02913303  0.001
M13.56_389.2668m.z M13.56_389.2668m.z  1930   0.3207458 0.04721933  0.002
M3.04_706.5353m.z   M3.04_706.5353m.z  1450   0.3205929 0.02913303  0.001
M12.87_356.2210n     M12.87_356.2210n  1000   0.3195894 0.02913303  0.001
M10.73_307.1888m.z M10.73_307.1888m.z  2097   0.3194428 0.02913303  0.001
M10.82_317.2076m.z M10.82_317.2076m.z  3399   0.3177134 0.02913303  0.001
M4.74_860.6141m.z   M4.74_860.6141m.z  2621   0.3172353 0.07017680  0.004
M0.96_307.2640m.z   M0.96_307.2640m.z   683   0.3170707 0.04721933  0.002
M6.80_169.1233m.z   M6.80_169.1233m.z  3403   0.3163696 0.04721933  0.002
M4.76_818.5680m.z   M4.76_818.5680m.z  1910   0.3161445 0.07017680  0.004
M0.96_331.2639m.z   M0.96_331.2639m.z  1208   0.3159921 0.02913303  0.001
M11.62_367.2844m.z M11.62_367.2844m.z  3056   0.3159484 0.05935514  0.003
M12.88_585.4860m.z M12.88_585.4860m.z   336   0.3146815 0.04721933  0.002
M5.83_288.2161m.z   M5.83_288.2161m.z   577   0.3143685 0.02913303  0.001
M6.05_312.2160m.z   M6.05_312.2160m.z  2580   0.3142994 0.02913303  0.001
M11.98_641.1882m.z M11.98_641.1882m.z  2421   0.3139535 0.05935514  0.003
M13.08_253.2170m.z M13.08_253.2170m.z  2954   0.3136817 0.05935514  0.003
M6.18_198.1134m.z   M6.18_198.1134m.z  4312   0.3136781 0.07764059  0.005
M5.41_761.6524m.z   M5.41_761.6524m.z  5911   0.3130760 0.02913303  0.001
M8.09_187.1339m.z   M8.09_187.1339m.z  1573   0.3128730 0.07764059  0.005
