                            Variables index correlation     qvalue pvalue
M8.76_227.1386m.z   M8.76_227.1386m.z  2855  -0.3066342 0.07764059  0.005
M13.31_261.1320n     M13.31_261.1320n  3186  -0.3060813 0.07017680  0.004
M10.53_147.0297m.z M10.53_147.0297m.z   959  -0.3051541 0.07017680  0.004
M5.75_266.0463n       M5.75_266.0463n  2474  -0.3047499 0.04721933  0.002
M2.07_152.0836n       M2.07_152.0836n  1827  -0.3047215 0.02913303  0.001
M10.62_380.2554m.z M10.62_380.2554m.z   732  -0.3047168 0.05935514  0.003
M6.44_211.1075m.z   M6.44_211.1075m.z  1951  -0.3046876 0.07764059  0.005
M4.02_391.0749m.z   M4.02_391.0749m.z  1874  -0.3044575 0.05935514  0.003
M7.31_271.1086m.z   M7.31_271.1086m.z  3982  -0.3039143 0.05935514  0.003
M6.24_254.1610m.z   M6.24_254.1610m.z  4593  -0.3038812 0.02913303  0.001
M7.27_578.2615n       M7.27_578.2615n   390  -0.3038250 0.07764059  0.005
M8.80_175.0245m.z   M8.80_175.0245m.z  5713  -0.3030612 0.05935514  0.003
M1.53_176.0705m.z   M1.53_176.0705m.z  2466  -0.3025887 0.09846512  0.008
M2.76_147.1047n       M2.76_147.1047n   852  -0.3023855 0.07764059  0.005
M11.40_521.3479n     M11.40_521.3479n    72  -0.3018630 0.05935514  0.003
M8.93_117.0191m.z   M8.93_117.0191m.z  5409  -0.3017989 0.07764059  0.005
M13.59_222.1617n     M13.59_222.1617n  1697  -0.3016216 0.07017680  0.004
M7.43_237.0929m.z   M7.43_237.0929m.z  4807  -0.3014680 0.07017680  0.004
M10.92_303.2328m.z M10.92_303.2328m.z  3474  -0.3011291 0.08543946  0.006
M0.95_440.3865n       M0.95_440.3865n  1295  -0.3009172 0.07017680  0.004
M5.82_544.3388m.z   M5.82_544.3388m.z    90  -0.3008971 0.10875000  0.010
M7.55_309.1705m.z   M7.55_309.1705m.z  3814  -0.3008625 0.09846512  0.008
M1.12_452.3495n       M1.12_452.3495n   310  -0.3004544 0.08543946  0.006
M4.70_197.0963n       M4.70_197.0963n  3146  -0.2996390 0.07017680  0.004
M5.20_234.0540n       M5.20_234.0540n  1022  -0.2994098 0.07764059  0.005
M9.60_292.0201m.z   M9.60_292.0201m.z  1893  -0.2993187 0.07017680  0.004
M9.00_330.2405n       M9.00_330.2405n  4314  -0.2977561 0.07764059  0.005
M13.56_445.3319m.z M13.56_445.3319m.z   253  -0.2976766 0.07017680  0.004
M10.84_476.2778m.z M10.84_476.2778m.z   311  -0.2974557 0.09359368  0.007
M16.15_115.0633n     M16.15_115.0633n    75  -0.2968893 0.09359368  0.007
M0.73_371.0432m.z   M0.73_371.0432m.z  2109  -0.2968219 0.07017680  0.004
M5.74_149.0606m.z   M5.74_149.0606m.z  1817  -0.2967817 0.05935514  0.003
M10.00_320.2344n     M10.00_320.2344n  5054  -0.2964401 0.07764059  0.005
M10.55_122.0246m.z M10.55_122.0246m.z  4140  -0.2953756 0.07017680  0.004
M8.10_123.0552m.z   M8.10_123.0552m.z  3657  -0.2953594 0.10875000  0.010
M4.96_425.1021m.z   M4.96_425.1021m.z  1471  -0.2949039 0.09846512  0.008
M0.99_119.0501m.z   M0.99_119.0501m.z  3518  -0.2949035 0.08543946  0.006
M7.89_233.0632m.z   M7.89_233.0632m.z  2816  -0.2945337 0.10373684  0.009
M4.75_175.0637n       M4.75_175.0637n  2852  -0.2939454 0.05935514  0.003
M11.73_465.3550m.z M11.73_465.3550m.z  1418  -0.2937104 0.08543946  0.006
M8.75_117.0192m.z   M8.75_117.0192m.z  4549  -0.2933389 0.11341071  0.011
M10.74_501.2846n     M10.74_501.2846n   947  -0.2926769 0.10875000  0.010
M11.31_174.0406m.z M11.31_174.0406m.z  2657  -0.2923107 0.07764059  0.005
M3.28_223.1086m.z   M3.28_223.1086m.z  5740  -0.2922512 0.05935514  0.003
M1.51_239.1025n       M1.51_239.1025n   671  -0.2922410 0.07764059  0.005
