                            Variables index correlation      qvalue pvalue
M10.48_540.1828n     M10.48_540.1828n  3054  -0.3223413 0.000000000  0.000
M12.87_329.2327m.z M12.87_329.2327m.z  2838  -0.3223115 0.000000000  0.000
M0.96_331.2639m.z   M0.96_331.2639m.z  1208  -0.3212408 0.000000000  0.000
M7.50_263.1247m.z   M7.50_263.1247m.z  2859  -0.3207799 0.000000000  0.000
M8.06_197.1546m.z   M8.06_197.1546m.z  3960  -0.3207157 0.008547779  0.001
M8.27_413.1166m.z   M8.27_413.1166m.z  3760  -0.3201690 0.008547779  0.001
M7.77_209.1183m.z   M7.77_209.1183m.z  5669  -0.3200637 0.000000000  0.000
M0.96_307.2640m.z   M0.96_307.2640m.z   683  -0.3195792 0.000000000  0.000
M10.17_354.1900n     M10.17_354.1900n  3752  -0.3193343 0.008547779  0.001
M2.58_225.0917m.z   M2.58_225.0917m.z  1055  -0.3190872 0.008547779  0.001
M10.81_225.1859m.z M10.81_225.1859m.z   845  -0.3189924 0.008547779  0.001
M5.87_412.3054m.z   M5.87_412.3054m.z  2701  -0.3183852 0.008547779  0.001
M5.15_246.9916m.z   M5.15_246.9916m.z  6198  -0.3173536 0.000000000  0.000
M9.41_337.0183n       M9.41_337.0183n  5106  -0.3168383 0.008547779  0.001
M9.65_277.1424m.z   M9.65_277.1424m.z  1764  -0.3165535 0.000000000  0.000
M2.62_213.1130m.z   M2.62_213.1130m.z   750  -0.3163375 0.000000000  0.000
M5.95_165.0919m.z   M5.95_165.0919m.z  4703  -0.3160857 0.000000000  0.000
M9.25_88.0393m.z     M9.25_88.0393m.z  5354  -0.3149297 0.000000000  0.000
M6.79_576.2175m.z   M6.79_576.2175m.z  2809  -0.3143799 0.000000000  0.000
M0.97_247.1700m.z   M0.97_247.1700m.z  2743  -0.3135347 0.000000000  0.000
M0.96_223.1702m.z   M0.96_223.1702m.z   848  -0.3131085 0.015211976  0.002
M6.64_203.0825m.z   M6.64_203.0825m.z  4635  -0.3126843 0.000000000  0.000
M7.71_158.0331n       M7.71_158.0331n  2256  -0.3122372 0.015211976  0.002
M7.70_120.9964m.z   M7.70_120.9964m.z  4465  -0.3122058 0.000000000  0.000
