	T1	T2	T3	T4	T5	T6
time	T1	T2	T3	T4	T5	T6
MCTP1	3.41096873338628	3.33708593182971	3.1444313036424	3.56462959910462	2.94126760868605	4.12136308872596
LRRC25	4.42166268464189	3.77110688225998	4.21906535597119	2.76227211426668	4.19866321022115	4.41592665489903
KCNE3	4.01564812712884	3.30521303313772	4.22453573412119	4.6645336776702	2.1093135418416	4.93620592518563
DRAP1	4.77472149960091	4.15628675432425	4.54203533010679	3.63529302970313	4.93685748892925	4.66860181066825
UCP2	7.07721199117229	6.61018009724582	7.00378815426453	6.75139514935415	6.54427773571858	7.30236092663383
C11orf68	2.53939337873166	2.49905767801919	2.73309114118059	3.04093542410347	3.44157123162006	3.53385175952323
MRPL48	3.55098900106373	3.4253147060365	3.87032287762054	4.67446668321077	3.78025606445304	4.70010327136082
RAB6A	5.82579770643336	4.9081151483969	5.36106066769223	5.02893927575668	4.92529669495969	5.89571753754021
P2RY2	1.72001303494192	1.52364556868984	2.02523637993996	0.979900435111312	0.732470228273229	1.2696122845109
ERCC4	2.39847930129228	2.20420165201187	2.56239522451936	2.44469240030402	3.02729677475046	3.90759334952561
CCDC85B	1.14908833523535	1.08082829150984	1.45772773436288	1.41754166092034	0.942778670822328	2.9591839328991
TMEM70	3.06234426663672	2.21674005538934	3.07172545846774	2.54896579283863	2.01866245614556	3.01198906462527
RPS6KB2	3.45954352743687	3.29916084195026	3.95337675183116	3.29670242596294	3.46997104210947	3.91325851412995
TOM1L2	1.05842819676462	1.24788732276373	0.842333471971031	0.639344698546226	1.1595402397513	1.18911186974952
MLXIP	3.95231019832696	4.54723188219566	4.10899774464199	4.48357898172187	4.0601998382482	4.34646552802652
AURKAIP1	5.31673272621113	4.7663580713433	5.18069844351964	4.82557197125269	4.60499027629333	5.52178406307341
SLC35E3	3.63172866948603	4.06515282866378	3.34112743690835	3.7794762707308	3.4209558511067	3.16074840611137
RUVBL1	3.48878870154153	2.8602666748744	3.00249426120709	3.82963728046265	3.27795373880142	4.4447597361354
MSRA	2.18579603793079	2.5158194719068	2.98272258980581	2.54206878515335	2.87743383628654	2.67364211643227
CTDNEP1	7.18442672340103	6.50010675242446	7.10508640831263	6.98670465611733	6.6922749876693	7.19940899938744
SWI5	1.91346595262617	1.25448162000746	1.66604014461216	2.10292010631161	1.88254656135803	1.25987223820591
GAPT	3.31442446534885	2.64024768331372	2.5130285462373	3.31968902849904	2.29091481806208	4.32582457094218
BAIAP2	1.44853078289189	1.84018675358377	1.77738996291362	1.32589906311356	1.32627101216396	0.578194102668683
ZDHHC21	2.03172895322378	2.25547564192836	1.95119769003222	0.982208770752138	1.37490192160782	2.81584982725389
PLEKHF2	3.06594131103411	2.73632884333311	3.135791356799	3.23416124080905	3.2665676518005	4.58878747145396
