	T1	T2	T3	T4	T5
M5.74_149.0606m.z	-0.554761378307339	0.946795690436423	0.902920630715444	0.108200342311619	-1.40315528515615
M11.90_132.0301m.z	-0.570673531333192	1.7001595147072	-0.794132220102856	-0.387804445687328	0.0524506824161722
M10.78_528.3086m.z	-1.20832632295418	-0.799539802266215	0.166792180694448	1.21893882857518	0.622135115950768
M6.26_266.1384m.z	-1.54314564136731	1.21474192764091	-0.151345582220808	0.290463184331433	0.18928611161578
M11.28_478.2933m.z	-1.62705596742216	0.699899484652316	0.925794365365004	-0.0528607737085514	0.054222891113395
M6.48_244.1542m.z	-1.44649138621623	0.00100979410435347	0.882075327590172	-0.415036222492295	0.978442487013998
M9.84_132.0533n	-0.869571781444986	-0.704569531168308	-0.286111608139603	0.246278386690931	1.61397453406197
M11.04_254.9813m.z	-1.42507493536501	0.557758473752814	-0.5211251845875	0.234541395080095	1.1539002511196
M11.88_437.3268m.z	-0.880178620858462	1.03555937259551	1.01791446484125	-0.123807630079911	-1.04948758649839
M11.76_271.2278m.z	-0.206577872124464	-0.928998299076393	1.33681286478897	-0.902793827650104	0.701557134061987
M7.52_362.2085n	-0.929171700599036	-1.12552981021129	0.954214139306964	0.129671607470727	0.970815764032633
M4.76_175.0634n	-1.14992905838624	-0.294494199823753	-0.509160953074193	0.51665852964255	1.43692568164164
M6.45_218.1183m.z	-1.40928031811783	1.11487244317691	0.489115162801003	-0.603712861262798	0.409005573402718
M11.92_203.0672m.z	-1.62925807937079	0.936014711137798	0.534902232243364	-0.213009355687882	0.371350491677511
M10.53_132.0300m.z	-0.880937674181848	-0.341177902866362	-0.455883893633434	-0.0246770608406172	1.70267653152226
M8.40_164.0841n	-1.21427423430873	-0.474416054912163	-0.35280585028464	1.23538995631321	0.806106183192325
M10.78_262.0798n	-0.542141567723129	1.27186858856316	-1.15356191550548	-0.365970825649334	0.789805720314778
M12.10_267.2327m.z	-0.681430367618895	1.50329442789693	-0.488629173785879	-0.867144852730685	0.533909966238529
M10.60_205.1181m.z	-1.06099977412065	1.2757673379312	0.622836655094794	0.0851727242891392	-0.922776943194482
M12.47_431.3162m.z	-0.351245959334643	-0.722299261147495	-0.971913186135672	1.42169334042573	0.623765066192085
